84ea7885beaa_cleanapp_areas_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-areas-service-image:prod	14bf2ca2becc	2025-12-22 00:47:30 +0000 UTC	Up 7 weeks	0.0.0.0:9086->8080/tcp, [::]:9086->8080/tcp
fd599f74b05f_cleanapp_auth_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-auth-service-image:prod	a9f8bcda2664	2025-12-22 00:47:30 +0000 UTC	Up 7 weeks	0.0.0.0:9084->8080/tcp, [::]:9084->8080/tcp
5c8f50873b4c_cleanapp_email_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-email-service-image:prod	084d4b7a86c1	2025-12-22 00:47:30 +0000 UTC	Up 7 weeks	0.0.0.0:9089->8080/tcp, [::]:9089->8080/tcp
093e3a8bfd19_cleanapp_report_listener_v4	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-v4-image:prod	77bd757896a6	2025-12-22 00:47:30 +0000 UTC	Up 7 weeks	0.0.0.0:9097->8080/tcp, [::]:9097->8080/tcp
cleanapp_report_processor	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-processor-image:prod	7f8b58ca0733	2025-12-22 00:47:30 +0000 UTC	Up 6 weeks	0.0.0.0:9087->8080/tcp, [::]:9087->8080/tcp
cleanapp_report_listener	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-image:prod	c0a5a02ad07a	2025-12-22 00:47:07 +0000 UTC	Up 7 weeks (healthy)	0.0.0.0:9081->8080/tcp, [::]:9081->8080/tcp
cleanapp_db	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-db-image:live	868cab192692	2025-12-22 00:46:23 +0000 UTC	Up 7 weeks (healthy)	0.0.0.0:3306->3306/tcp, [::]:3306->3306/tcp, 33060/tcp
cleanapp_replier_twitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-news-replier-twitter-image:prod	9a2b3794007c	2025-12-21 12:34:02 +0000 UTC	Up 7 weeks	
cleanapp_email_fetcher	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-email-fetcher-image:prod	b641efdd61ee	2025-12-21 12:34:02 +0000 UTC	Up 7 weeks	
cleanapp_news_analyzer_twitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-news-analyzer-twitter-image:prod	8a512777e1c4	2025-12-21 12:34:02 +0000 UTC	Up 7 weeks	
cleanapp_news_indexer_twitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-news-indexer-twitter-image:prod	ebc14d7113b8	2025-12-21 12:34:02 +0000 UTC	Up 7 weeks	
cleanapp_rabbitmq	rabbitmq:latest	9ed13f446821	2025-12-21 12:34:02 +0000 UTC	Up 7 weeks (healthy)	4369/tcp, 0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 5671/tcp, 15691-15692/tcp, 25672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp
