cleanapp_bluesky_submitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-submitter-image:prod	218e03933674	2026-02-09 00:44:41 +0000 UTC	Up 17 minutes	
cleanapp_news_submitter_twitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-news-submitter-twitter-image:prod	394cff664bdc	2026-02-09 00:44:41 +0000 UTC	Up 17 minutes	
cleanapp_report_tags_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-tags-service-image:prod	d7595f9fcce5	2026-02-09 00:44:40 +0000 UTC	Up 16 minutes (healthy)	0.0.0.0:9098->8080/tcp, [::]:9098->8080/tcp
cleanapp_report_renderer_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-fast-renderer-image:prod	4f168f8e1fc3	2026-02-09 00:44:40 +0000 UTC	Up 16 minutes (healthy)	0.0.0.0:9093->8080/tcp, [::]:9093->8080/tcp
cleanapp_report_listener	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-image:prod	6bb050852fa4	2026-02-09 00:44:40 +0000 UTC	Up 17 minutes (healthy)	0.0.0.0:9081->8080/tcp, [::]:9081->8080/tcp
cleanapp_replier_twitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-news-replier-twitter-image:prod	9cd299fe6d9e	2026-02-09 00:44:40 +0000 UTC	Up 16 minutes	
cleanapp_email_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-email-service-image:prod	bd98a20aef2e	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9089->8080/tcp, [::]:9089->8080/tcp
cleanapp_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-service-image:prod	62462d487714	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:8079->8080/tcp, [::]:8079->8080/tcp
cleanapp_email_fetcher	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-email-fetcher-image:prod	2190fb9a8a8e	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	
cleanapp_edge_city_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image:prod	b52ece7f82dd	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9095->8080/tcp, [::]:9095->8080/tcp
cleanapp_news_analyzer_twitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-news-analyzer-twitter-image:prod	0c6444f24f70	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	
cleanapp_report_listener_v4	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-v4-image:prod	1fd3755ae1f3	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9097->8080/tcp, [::]:9097->8080/tcp
cleanapp_bluesky_indexer	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-indexer-image:prod	68643256c84b	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	
cleanapp_rabbitmq	rabbitmq:latest	ec0d98b55455	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes (healthy)	4369/tcp, 0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 5671/tcp, 15691-15692/tcp, 25672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp
cleanapp_areas_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-areas-service-image:prod	6474da780187	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9086->8080/tcp, [::]:9086->8080/tcp
